customer_id,name,age,gender,income,region,purchase_amount,upload_timestamp,avg_purchase_amount,purchase_frequency,customer_lifespan_months,calculated_clv,clv_tier
873,"Carlos Fernandez",71,Other,99564.51,"Region XI",4966.82,"2026-01-06 07:05:25",4966.82,4.50,48,89402.76,Platinum
5873,"Jose Rivera",59,Female,86274.11,CAR,4965.01,"2026-01-06 07:05:25",4965.01,4.50,48,89370.18,Platinum
7842,"Luz Rivera",74,Female,96633.33,"Region I",4964.14,"2026-01-06 07:05:25",4964.14,4.50,48,89354.52,Platinum
8355,"Carlos Torres",71,Male,70707.56,"Region II",4963.07,"2026-01-06 07:05:25",4963.07,4.50,48,89335.26,Platinum
5973,"Rafael Reyes",64,Male,75919.94,"Region VIII",4962.74,"2026-01-06 07:05:25",4962.74,4.50,48,89329.32,Platinum
4145,"Ana Garcia",53,Female,96338.49,"Region I",4962.24,"2026-01-06 07:05:25",4962.24,4.50,48,89320.32,Platinum
5805,"Luz Rivera",65,Other,85793.24,"Region IX",4953.14,"2026-01-06 07:05:25",4953.14,4.50,48,89156.52,Platinum
3887,"Maria Rivera",67,Male,96761.36,"Region VII",4951.86,"2026-01-06 07:05:25",4951.86,4.50,48,89133.48,Platinum
7780,"Maria Martinez",61,Other,78070.43,"Region XII",4942.40,"2026-01-06 07:05:25",4942.40,4.50,48,88963.20,Platinum
1533,"Maria Fernandez",74,Male,87330.98,"Region XIII",4935.44,"2026-01-06 07:05:25",4935.44,4.50,48,88837.92,Platinum
9610,"Ana Fernandez",75,Other,73647.90,"Region XI",4932.20,"2026-01-06 07:05:25",4932.20,4.50,48,88779.60,Platinum
1665,"Elena Santos",72,Female,81199.68,"Region VI",4920.94,"2026-01-06 07:05:25",4920.94,4.50,48,88576.92,Platinum
8175,"Elena Rodriguez",53,Female,72510.14,NCR,4920.17,"2026-01-06 07:05:25",4920.17,4.50,48,88563.06,Platinum
8385,"Carlos Fernandez",71,Other,99545.05,"Region XI",4918.69,"2026-01-06 07:05:25",4918.69,4.50,48,88536.42,Platinum
5911,"Rafael Martinez",58,Other,94987.56,"Region IV-B",4916.55,"2026-01-06 07:05:25",4916.55,4.50,48,88497.90,Platinum
821,"Carlos Lopez",70,Female,70633.51,NCR,4916.22,"2026-01-06 07:05:25",4916.22,4.50,48,88491.96,Platinum
5917,"Maria Fernandez",59,Female,95605.58,BARMM,4914.26,"2026-01-06 07:05:25",4914.26,4.50,48,88456.68,Platinum
5652,"Rafael Reyes",63,Male,94127.73,"Region VII",4912.53,"2026-01-06 07:05:25",4912.53,4.50,48,88425.54,Platinum
1313,"Elena Dela Cruz",53,Other,86678.34,CAR,4908.98,"2026-01-06 07:05:25",4908.98,4.50,48,88361.64,Platinum
7053,"Rafael Dela Cruz",65,Female,99872.63,BARMM,4907.64,"2026-01-06 07:05:25",4907.64,4.50,48,88337.52,Platinum
7983,"Carmen Lopez",58,Female,90200.41,"Region IV-A",4903.12,"2026-01-06 07:05:25",4903.12,4.50,48,88256.16,Platinum
9110,"Jose Garcia",77,Female,75237.55,NCR,4900.10,"2026-01-06 07:05:25",4900.10,4.50,48,88201.80,Platinum
9848,"Jose Santos",74,Other,73137.12,"Region V",4896.63,"2026-01-06 07:05:25",4896.63,4.50,48,88139.34,Platinum
8736,"Jose Rodriguez",68,Other,92766.00,"Region VII",4895.87,"2026-01-06 07:05:25",4895.87,4.50,48,88125.66,Platinum
6260,"Pedro Santos",52,Other,95790.54,"Region VII",4893.40,"2026-01-06 07:05:25",4893.40,4.50,48,88081.20,Platinum
1271,"Juan Torres",54,Other,78216.06,"Region IX",4893.15,"2026-01-06 07:05:25",4893.15,4.50,48,88076.70,Platinum
3981,"Rafael Reyes",73,Other,72348.73,"Region IV-B",4892.23,"2026-01-06 07:05:25",4892.23,4.50,48,88060.14,Platinum
2664,"Rafael Martinez",51,Male,99872.46,BARMM,4891.63,"2026-01-06 07:05:25",4891.63,4.50,48,88049.34,Platinum
874,"Luz Lopez",66,Male,81391.37,"Region III",4891.60,"2026-01-06 07:05:25",4891.60,4.50,48,88048.80,Platinum
1516,"Rafael Dela Cruz",58,Male,90124.77,"Region XIII",4889.42,"2026-01-06 07:05:25",4889.42,4.50,48,88009.56,Platinum
7088,"Rafael Rodriguez",65,Female,90424.71,"Region I",4882.41,"2026-01-06 07:05:25",4882.41,4.50,48,87883.38,Platinum
8929,"Rafael Lopez",53,Other,96524.46,BARMM,4880.66,"2026-01-06 07:05:25",4880.66,4.50,48,87851.88,Platinum
2101,"Rafael Rodriguez",55,Other,97721.56,"Region VII",4870.55,"2026-01-06 07:05:25",4870.55,4.50,48,87669.90,Platinum
4232,"Carlos Reyes",54,Male,92297.98,"Region I",4868.90,"2026-01-06 07:05:25",4868.90,4.50,48,87640.20,Platinum
9404,"Juan Fernandez",50,Male,84358.93,"Region XIII",4867.81,"2026-01-06 07:05:25",4867.81,4.50,48,87620.58,Platinum
9156,"Pedro Fernandez",52,Male,76918.63,"Region V",4867.70,"2026-01-06 07:05:25",4867.70,4.50,48,87618.60,Platinum
971,"Carmen Lopez",58,Female,76246.83,"Region VIII",4863.85,"2026-01-06 07:05:25",4863.85,4.50,48,87549.30,Platinum
9445,"Pedro Dela Cruz",71,Male,84902.80,"Region III",4861.43,"2026-01-06 07:05:25",4861.43,4.50,48,87505.74,Platinum
4997,"Carmen Reyes",77,Male,79882.27,"Region V",4860.43,"2026-01-06 07:05:25",4860.43,4.50,48,87487.74,Platinum
1139,"Maria Rivera",57,Female,89254.86,"Region IV-A",4859.77,"2026-01-06 07:05:25",4859.77,4.50,48,87475.86,Platinum
4881,"Luz Martinez",59,Other,85874.87,"Region XIII",4856.39,"2026-01-06 07:05:25",4856.39,4.50,48,87415.02,Platinum
5077,"Carmen Lopez",58,Female,95143.77,"Region VII",4845.33,"2026-01-06 07:05:25",4845.33,4.50,48,87215.94,Platinum
1219,"Elena Fernandez",70,Other,89362.09,"Region IV-A",4843.50,"2026-01-06 07:05:25",4843.50,4.50,48,87183.00,Platinum
5793,"Juan Lopez",60,Female,72343.57,"Region XI",4834.33,"2026-01-06 07:05:25",4834.33,4.50,48,87017.94,Platinum
9476,"Carlos Garcia",66,Female,81456.05,"Region IX",4830.37,"2026-01-06 07:05:25",4830.37,4.50,48,86946.66,Platinum
2030,"Juan Lopez",62,Other,74312.68,"Region II",4824.78,"2026-01-06 07:05:25",4824.78,4.50,48,86846.04,Platinum
599,"Juan Lopez",63,Other,89126.43,"Region XIII",4818.29,"2026-01-06 07:05:25",4818.29,4.50,48,86729.22,Platinum
9705,"Carmen Rodriguez",74,Female,92041.07,"Region VII",4818.18,"2026-01-06 07:05:25",4818.18,4.50,48,86727.24,Platinum
4014,"Ana Garcia",60,Other,87171.73,"Region IV-A",4817.81,"2026-01-06 07:05:25",4817.81,4.50,48,86720.58,Platinum
666,"Carlos Rivera",78,Male,71176.63,BARMM,4814.05,"2026-01-06 07:05:25",4814.05,4.50,48,86652.90,Platinum
6161,"Pedro Rodriguez",57,Other,94154.61,"Region X",4808.28,"2026-01-06 07:05:25",4808.28,4.50,48,86549.04,Platinum
5148,"Carlos Garcia",66,Female,81480.32,"Region IX",4808.10,"2026-01-06 07:05:25",4808.10,4.50,48,86545.80,Platinum
8592,"Pedro Torres",54,Other,82913.37,"Region XII",4804.48,"2026-01-06 07:05:25",4804.48,4.50,48,86480.64,Platinum
1172,"Maria Rodriguez",65,Female,99497.82,"Region VII",4798.07,"2026-01-06 07:05:25",4798.07,4.50,48,86365.26,Platinum
8822,"Carlos Lopez",58,Female,80632.36,"Region III",4798.05,"2026-01-06 07:05:25",4798.05,4.50,48,86364.90,Platinum
2067,"Maria Reyes",60,Other,86614.82,"Region XIII",4797.22,"2026-01-06 07:05:25",4797.22,4.50,48,86349.96,Platinum
2084,"Jose Rivera",51,Other,99813.82,"Region XI",4795.61,"2026-01-06 07:05:25",4795.61,4.50,48,86320.98,Platinum
3016,"Jose Dela Cruz",57,Other,89296.44,"Region VI",4795.29,"2026-01-06 07:05:25",4795.29,4.50,48,86315.22,Platinum
9316,"Carlos Torres",61,Female,78010.04,"Region VIII",4790.48,"2026-01-06 07:05:25",4790.48,4.50,48,86228.64,Platinum
913,"Maria Fernandez",55,Female,83677.17,CAR,4790.06,"2026-01-06 07:05:25",4790.06,4.50,48,86221.08,Platinum
1160,"Maria Martinez",76,Male,79286.28,"Region V",4787.55,"2026-01-06 07:05:25",4787.55,4.50,48,86175.90,Platinum
5170,"Jose Garcia",72,Male,81199.79,"Region IX",4785.87,"2026-01-06 07:05:25",4785.87,4.50,48,86145.66,Platinum
2009,"Elena Rivera",62,Female,78857.50,NCR,4785.56,"2026-01-06 07:05:25",4785.56,4.50,48,86140.08,Platinum
7438,"Juan Lopez",69,Male,73838.90,"Region XI",4781.47,"2026-01-06 07:05:25",4781.47,4.50,48,86066.46,Platinum
5645,"Carmen Santos",51,Other,90358.55,"Region IV-A",4779.97,"2026-01-06 07:05:25",4779.97,4.50,48,86039.46,Platinum
4508,"Ana Garcia",68,Female,82764.02,CAR,4770.80,"2026-01-06 07:05:25",4770.80,4.50,48,85874.40,Platinum
429,"Carlos Fernandez",67,Female,87044.36,"Region XIII",4770.78,"2026-01-06 07:05:25",4770.78,4.50,48,85874.04,Platinum
6679,"Juan Lopez",75,Other,97586.84,"Region VII",4769.91,"2026-01-06 07:05:25",4769.91,4.50,48,85858.38,Platinum
173,"Rafael Rodriguez",61,Male,96894.67,"Region I",4766.69,"2026-01-06 07:05:25",4766.69,4.50,48,85800.42,Platinum
6771,"Maria Rodriguez",58,Other,89840.50,"Region VI",4766.55,"2026-01-06 07:05:25",4766.55,4.50,48,85797.90,Platinum
9369,"Carlos Reyes",51,Other,94625.74,BARMM,4760.71,"2026-01-06 07:05:25",4760.71,4.50,48,85692.78,Platinum
3121,"Elena Lopez",70,Female,94066.91,"Region I",4760.20,"2026-01-06 07:05:25",4760.20,4.50,48,85683.60,Platinum
5016,"Carlos Lopez",53,Male,86435.71,"Region XIII",4758.61,"2026-01-06 07:05:25",4758.61,4.50,48,85654.98,Platinum
9226,"Ana Santos",64,Other,80156.18,"Region V",4756.67,"2026-01-06 07:05:25",4756.67,4.50,48,85620.06,Platinum
1994,"Elena Dela Cruz",53,Other,81862.82,"Region XII",4749.52,"2026-01-06 07:05:25",4749.52,4.50,48,85491.36,Platinum
6927,"Carlos Fernandez",63,Male,74924.28,NCR,4744.95,"2026-01-06 07:05:25",4744.95,4.50,48,85409.10,Platinum
1729,"Ana Fernandez",59,Other,86052.72,"Region XIII",4741.48,"2026-01-06 07:05:25",4741.48,4.50,48,85346.64,Platinum
7867,"Carlos Santos",58,Female,85101.04,CAR,4741.08,"2026-01-06 07:05:25",4741.08,4.50,48,85339.44,Platinum
1229,"Carmen Garcia",60,Other,77393.76,"Region XII",4734.33,"2026-01-06 07:05:25",4734.33,4.50,48,85217.94,Platinum
6495,"Rafael Martinez",57,Other,70280.66,"Region II",4732.79,"2026-01-06 07:05:25",4732.79,4.50,48,85190.22,Platinum
7480,"Pedro Lopez",53,Other,72137.93,"Region XI",4731.75,"2026-01-06 07:05:25",4731.75,4.50,48,85171.50,Platinum
7104,"Rafael Martinez",76,Male,79151.53,"Region V",4722.13,"2026-01-06 07:05:25",4722.13,4.50,48,84998.34,Platinum
8466,"Luz Martinez",62,Male,92968.74,"Region VII",4719.33,"2026-01-06 07:05:25",4719.33,4.50,48,84947.94,Platinum
8512,"Carmen Rodriguez",62,Female,83593.54,"Region XII",4715.07,"2026-01-06 07:05:25",4715.07,4.50,48,84871.26,Platinum
3849,"Rafael Rodriguez",56,Other,83719.11,"Region XII",4713.54,"2026-01-06 07:05:25",4713.54,4.50,48,84843.72,Platinum
5251,"Carlos Rodriguez",78,Other,75758.89,"Region V",4707.95,"2026-01-06 07:05:25",4707.95,4.50,48,84743.10,Platinum
1883,"Juan Lopez",60,Female,72795.20,"Region XI",4698.86,"2026-01-06 07:05:25",4698.86,4.50,48,84579.48,Platinum
6693,"Juan Dela Cruz",74,Female,96299.56,"Region I",4694.63,"2026-01-06 07:05:25",4694.63,4.50,48,84503.34,Platinum
2389,"Carlos Torres",78,Female,94742.43,BARMM,4693.78,"2026-01-06 07:05:25",4693.78,4.50,48,84488.04,Platinum
5637,"Jose Torres",71,Male,89491.35,CAR,4693.55,"2026-01-06 07:05:25",4693.55,4.50,48,84483.90,Platinum
4631,"Carmen Martinez",78,Female,99069.96,"Region XI",4690.93,"2026-01-06 07:05:25",4690.93,4.50,48,84436.74,Platinum
7961,"Pedro Rivera",63,Other,74412.51,"Region II",4689.17,"2026-01-06 07:05:25",4689.17,4.50,48,84405.06,Platinum
9148,"Ana Santos",67,Other,96407.79,"Region I",4686.14,"2026-01-06 07:05:25",4686.14,4.50,48,84350.52,Platinum
7222,"Jose Rivera",61,Female,82926.61,"Region III",4682.95,"2026-01-06 07:05:25",4682.95,4.50,48,84293.10,Platinum
2994,"Luz Santos",72,Female,90260.56,"Region XIII",4680.71,"2026-01-06 07:05:25",4680.71,4.50,48,84252.78,Platinum
6259,"Elena Martinez",54,Male,82738.30,CAR,4679.58,"2026-01-06 07:05:25",4679.58,4.50,48,84232.44,Platinum
9867,"Maria Dela Cruz",54,Other,91711.38,"Region X",4673.81,"2026-01-06 07:05:25",4673.81,4.50,48,84128.58,Platinum
3475,"Juan Lopez",64,Other,89307.09,"Region XIII",4672.73,"2026-01-06 07:05:25",4672.73,4.50,48,84109.14,Platinum
6333,"Rafael Reyes",52,Male,76082.10,"Region V",4669.21,"2026-01-06 07:05:25",4669.21,4.50,48,84045.78,Platinum
4138,"Elena Fernandez",77,Male,84286.68,"Region IX",4667.15,"2026-01-06 07:05:25",4667.15,4.50,48,84008.70,Platinum
5180,"Pedro Martinez",63,Male,98458.43,"Region I",4665.70,"2026-01-06 07:05:25",4665.70,4.50,48,83982.60,Platinum
5867,"Juan Santos",62,Female,78514.80,NCR,4664.13,"2026-01-06 07:05:25",4664.13,4.50,48,83954.34,Platinum
5654,"Carlos Fernandez",56,Female,78889.43,"Region III",4663.12,"2026-01-06 07:05:25",4663.12,4.50,48,83936.16,Platinum
9525,"Juan Garcia",69,Other,97733.19,"Region XI",4660.67,"2026-01-06 07:05:25",4660.67,4.50,48,83892.06,Platinum
6001,"Jose Garcia",72,Male,71588.97,"Region II",4658.28,"2026-01-06 07:05:25",4658.28,4.50,48,83849.04,Platinum
7059,"Ana Santos",62,Female,92619.32,"Region X",4654.80,"2026-01-06 07:05:25",4654.80,4.50,48,83786.40,Platinum
2548,"Carlos Lopez",57,Female,93847.90,"Region VII",4654.40,"2026-01-06 07:05:25",4654.40,4.50,48,83779.20,Platinum
9810,"Jose Torres",66,Other,95561.82,"Region I",4654.16,"2026-01-06 07:05:25",4654.16,4.50,48,83774.88,Platinum
1649,"Rafael Rodriguez",72,Male,71715.44,"Region II",4651.12,"2026-01-06 07:05:25",4651.12,4.50,48,83720.16,Platinum
9420,"Ana Santos",63,Female,93770.00,"Region X",4648.81,"2026-01-06 07:05:25",4648.81,4.50,48,83678.58,Platinum
5320,"Luz Dela Cruz",58,Male,94886.44,"Region I",4646.49,"2026-01-06 07:05:25",4646.49,4.50,48,83636.82,Platinum
2797,"Pedro Fernandez",55,Male,73715.83,"Region VIII",4644.65,"2026-01-06 07:05:25",4644.65,4.50,48,83603.70,Platinum
3496,"Juan Fernandez",72,Other,75844.81,"Region VIII",4644.54,"2026-01-06 07:05:25",4644.54,4.50,48,83601.72,Platinum
7810,"Jose Lopez",75,Other,82879.77,"Region III",4644.44,"2026-01-06 07:05:25",4644.44,4.50,48,83599.92,Platinum
8679,"Pedro Torres",53,Female,95872.83,"Region I",4642.07,"2026-01-06 07:05:25",4642.07,4.50,48,83557.26,Platinum
1116,"Carmen Fernandez",56,Female,98239.67,"Region XI",4639.54,"2026-01-06 07:05:25",4639.54,4.50,48,83511.72,Platinum
6469,"Ana Reyes",78,Female,75459.83,"Region VIII",4635.84,"2026-01-06 07:05:25",4635.84,4.50,48,83445.12,Platinum
7970,"Carmen Garcia",53,Male,76764.00,"Region XII",4635.37,"2026-01-06 07:05:25",4635.37,4.50,48,83436.66,Platinum
1949,"Luz Dela Cruz",58,Male,71052.04,BARMM,4634.61,"2026-01-06 07:05:25",4634.61,4.50,48,83422.98,Platinum
755,"Luz Martinez",57,Other,74976.45,"Region V",4629.28,"2026-01-06 07:05:25",4629.28,4.50,48,83327.04,Platinum
430,"Juan Santos",50,Other,84470.38,CAR,4627.66,"2026-01-06 07:05:25",4627.66,4.50,48,83297.88,Platinum
926,"Rafael Martinez",51,Male,94550.75,"Region X",4625.89,"2026-01-06 07:05:25",4625.89,4.50,48,83266.02,Platinum
9772,"Luz Rodriguez",66,Female,95365.13,"Region IV-A",4622.01,"2026-01-06 07:05:25",4622.01,4.50,48,83196.18,Platinum
905,"Pedro Fernandez",58,Female,75739.62,NCR,4620.77,"2026-01-06 07:05:25",4620.77,4.50,48,83173.86,Platinum
7220,"Maria Rivera",63,Other,74358.79,"Region II",4618.08,"2026-01-06 07:05:25",4618.08,4.50,48,83125.44,Platinum
3699,"Maria Rodriguez",78,Female,94609.54,BARMM,4617.31,"2026-01-06 07:05:25",4617.31,4.50,48,83111.58,Platinum
9833,"Juan Santos",50,Other,89458.38,"Region IV-A",4616.80,"2026-01-06 07:05:25",4616.80,4.50,48,83102.40,Platinum
3542,"Jose Rodriguez",62,Male,83203.62,"Region VI",4611.50,"2026-01-06 07:05:25",4611.50,4.50,48,83007.00,Platinum
2118,"Luz Rivera",64,Other,99018.27,"Region IV-B",4610.56,"2026-01-06 07:05:25",4610.56,4.50,48,82990.08,Platinum
6477,"Carlos Santos",58,Female,76054.28,"Region VIII",4608.97,"2026-01-06 07:05:25",4608.97,4.50,48,82961.46,Platinum
9816,"Rafael Santos",75,Other,87694.39,CAR,4607.08,"2026-01-06 07:05:25",4607.08,4.50,48,82927.44,Platinum
4829,"Ana Lopez",54,Male,72712.27,"Region II",4603.81,"2026-01-06 07:05:25",4603.81,4.50,48,82868.58,Platinum
793,"Carmen Santos",58,Male,80737.16,"Region V",4602.54,"2026-01-06 07:05:25",4602.54,4.50,48,82845.72,Platinum
5739,"Carmen Santos",61,Female,87208.31,CAR,4600.19,"2026-01-06 07:05:25",4600.19,4.50,48,82803.42,Platinum
2505,"Carmen Torres",53,Other,77273.49,"Region VIII",4598.39,"2026-01-06 07:05:25",4598.39,4.50,48,82771.02,Platinum
1518,"Rafael Reyes",70,Female,84347.19,"Region IX",4596.36,"2026-01-06 07:05:25",4596.36,4.50,48,82734.48,Platinum
6972,"Juan Rodriguez",61,Female,82926.38,"Region XII",4595.95,"2026-01-06 07:05:25",4595.95,4.50,48,82727.10,Platinum
6353,"Carmen Reyes",78,Male,89662.59,"Region XIII",4593.35,"2026-01-06 07:05:25",4593.35,4.50,48,82680.30,Platinum
5841,"Jose Dela Cruz",59,Male,95512.13,"Region I",4588.81,"2026-01-06 07:05:25",4588.81,4.50,48,82598.58,Platinum
3243,"Jose Dela Cruz",55,Other,73895.81,"Region XI",4585.45,"2026-01-06 07:05:25",4585.45,4.50,48,82538.10,Platinum
6637,"Carmen Torres",61,Male,77934.83,"Region II",4584.14,"2026-01-06 07:05:25",4584.14,4.50,48,82514.52,Platinum
4088,"Juan Lopez",75,Other,97424.75,"Region VII",4583.40,"2026-01-06 07:05:25",4583.40,4.50,48,82501.20,Platinum
9797,"Luz Fernandez",71,Other,84943.99,"Region VI",4582.86,"2026-01-06 07:05:25",4582.86,4.50,48,82491.48,Platinum
8047,"Pedro Reyes",76,Other,88336.83,"Region VI",4578.81,"2026-01-06 07:05:25",4578.81,4.50,48,82418.58,Platinum
1368,"Ana Torres",65,Female,94823.21,"Region X",4578.28,"2026-01-06 07:05:25",4578.28,4.50,48,82409.04,Platinum
9639,"Luz Lopez",77,Male,93814.64,"Region I",4576.26,"2026-01-06 07:05:25",4576.26,4.50,48,82372.68,Platinum
9541,"Carmen Reyes",74,Other,77695.80,NCR,4576.18,"2026-01-06 07:05:25",4576.18,4.50,48,82371.24,Platinum
3612,"Juan Fernandez",75,Other,78175.54,NCR,4575.31,"2026-01-06 07:05:25",4575.31,4.50,48,82355.58,Platinum
2219,"Maria Rivera",70,Male,79511.78,NCR,4572.76,"2026-01-06 07:05:25",4572.76,4.50,48,82309.68,Platinum
8262,"Ana Lopez",77,Other,70185.24,"Region VII",4558.67,"2026-01-06 07:05:25",4558.67,4.50,48,82056.06,Platinum
4380,"Rafael Reyes",53,Male,76961.65,"Region XII",4558.28,"2026-01-06 07:05:25",4558.28,4.50,48,82049.04,Platinum
8558,"Maria Reyes",57,Female,89155.61,"Region X",4553.53,"2026-01-06 07:05:25",4553.53,4.50,48,81963.54,Platinum
2242,"Luz Rivera",65,Other,89973.18,"Region XIII",4551.79,"2026-01-06 07:05:25",4551.79,4.50,48,81932.22,Platinum
3831,"Rafael Torres",76,Other,74384.61,"Region IV-B",4549.46,"2026-01-06 07:05:25",4549.46,4.50,48,81890.28,Platinum
7657,"Maria Lopez",53,Other,81497.06,"Region III",4547.85,"2026-01-06 07:05:25",4547.85,4.50,48,81861.30,Platinum
2841,"Carmen Fernandez",52,Male,90333.82,CAR,4545.31,"2026-01-06 07:05:25",4545.31,4.50,48,81815.58,Platinum
5884,"Juan Rivera",70,Female,84129.41,"Region IX",4542.25,"2026-01-06 07:05:25",4542.25,4.50,48,81760.50,Platinum
1119,"Rafael Martinez",53,Female,95755.91,"Region X",4542.24,"2026-01-06 07:05:25",4542.24,4.50,48,81760.32,Platinum
3473,"Carlos Fernandez",73,Other,71671.96,"Region XI",4540.05,"2026-01-06 07:05:25",4540.05,4.50,48,81720.90,Platinum
2645,"Ana Torres",57,Other,79655.00,NCR,4539.82,"2026-01-06 07:05:25",4539.82,4.50,48,81716.76,Platinum
4072,"Rafael Rodriguez",70,Other,88723.55,"Region IX",4539.48,"2026-01-06 07:05:25",4539.48,4.50,48,81710.64,Platinum
6676,"Juan Fernandez",54,Male,77938.36,"Region XII",4534.71,"2026-01-06 07:05:25",4534.71,4.50,48,81624.78,Platinum
422,"Juan Martinez",72,Male,81059.65,"Region IX",4532.31,"2026-01-06 07:05:25",4532.31,4.50,48,81581.58,Platinum
9528,"Jose Garcia",67,Other,96080.90,"Region X",4522.84,"2026-01-06 07:05:25",4522.84,4.50,48,81411.12,Platinum
7265,"Carmen Dela Cruz",73,Female,91049.65,"Region XIII",4517.60,"2026-01-06 07:05:25",4517.60,4.50,48,81316.80,Platinum
5866,"Elena Torres",72,Male,75980.62,"Region XI",4513.58,"2026-01-06 07:05:25",4513.58,4.50,48,81244.44,Platinum
7389,"Luz Reyes",65,Male,80237.72,"Region XII",4512.89,"2026-01-06 07:05:25",4512.89,4.50,48,81232.02,Platinum
4635,"Carmen Reyes",78,Male,94448.12,"Region I",4509.23,"2026-01-06 07:05:25",4509.23,4.50,48,81166.14,Platinum
6158,"Carlos Torres",59,Male,90555.79,"Region XIII",4507.90,"2026-01-06 07:05:25",4507.90,4.50,48,81142.20,Platinum
9901,"Ana Martinez",78,Female,89871.93,"Region X",4507.31,"2026-01-06 07:05:25",4507.31,4.50,48,81131.58,Platinum
2286,"Maria Rivera",71,Male,74953.69,"Region XI",4503.28,"2026-01-06 07:05:25",4503.28,4.50,48,81059.04,Platinum
7123,"Rafael Reyes",54,Male,82143.05,NCR,4500.63,"2026-01-06 07:05:25",4500.63,4.50,48,81011.34,Platinum
301,"Jose Martinez",55,Female,78471.80,"Region II",4500.11,"2026-01-06 07:05:25",4500.11,4.50,48,81001.98,Platinum
840,"Carmen Rivera",68,Male,82785.52,"Region III",4497.07,"2026-01-06 07:05:25",4497.07,4.50,48,80947.26,Platinum
6365,"Pedro Reyes",60,Other,96206.41,"Region IV-A",4495.35,"2026-01-06 07:05:25",4495.35,4.50,48,80916.30,Platinum
7761,"Pedro Rivera",68,Male,87205.58,"Region VI",4488.15,"2026-01-06 07:05:25",4488.15,4.50,48,80786.70,Platinum
8727,"Elena Garcia",69,Other,97767.92,"Region I",4487.43,"2026-01-06 07:05:25",4487.43,4.50,48,80773.74,Platinum
7656,"Rafael Reyes",62,Other,78355.63,"Region V",4485.83,"2026-01-06 07:05:25",4485.83,4.50,48,80744.94,Platinum
8869,"Maria Rodriguez",68,Other,77848.00,"Region II",4484.93,"2026-01-06 07:05:25",4484.93,4.50,48,80728.74,Platinum
1034,"Rafael Reyes",66,Male,76777.69,NCR,4481.76,"2026-01-06 07:05:25",4481.76,4.50,48,80671.68,Platinum
9617,"Carmen Martinez",71,Other,75470.46,NCR,4479.26,"2026-01-06 07:05:25",4479.26,4.50,48,80626.68,Platinum
4777,"Maria Reyes",62,Other,73689.29,"Region VIII",4478.62,"2026-01-06 07:05:25",4478.62,4.50,48,80615.16,Platinum
2154,"Maria Rodriguez",55,Other,96919.02,"Region VII",4477.72,"2026-01-06 07:05:25",4477.72,4.50,48,80598.96,Platinum
5347,"Carlos Torres",65,Female,85037.16,"Region III",4475.43,"2026-01-06 07:05:25",4475.43,4.50,48,80557.74,Platinum
5903,"Elena Lopez",62,Other,92662.49,"Region I",4470.07,"2026-01-06 07:05:25",4470.07,4.50,48,80461.26,Platinum
5640,"Rafael Rivera",67,Male,91124.49,"Region IV-A",4468.43,"2026-01-06 07:05:25",4468.43,4.50,48,80431.74,Platinum
1644,"Carlos Santos",77,Other,88873.54,CAR,4462.35,"2026-01-06 07:05:25",4462.35,4.50,48,80322.30,Platinum
4592,"Luz Dela Cruz",58,Male,71114.65,BARMM,4460.86,"2026-01-06 07:05:25",4460.86,4.50,48,80295.48,Platinum
